,content,sentiment,phrases
0,"{'id': '0', 'text': 'This bat was a quick replacement for a 220 dollar Easton Beast bat that had the weight fall out near the end of the season.  So far my son likes the weight of the bat.  Doesn’t look as cool, but so far it does the job and he likes it.  10 yr. old user. 27 in.'}",positive,"['weight', 'dollar Easton Beast bat', 'quick replacement', 'end', 'old user', 'season', 'job']"
1,"{'id': '1', 'text': 'DO NOT BUY!!!!  The bat is bent after 2 weeks.  My 7 year old son was using this bat in his 4th game tonight and the coach noticed it was bent.  Do disappointed because we have another playoff game tomorrow night!  Not what I expected from the Easton brand!'}",neutral,"['bat', 'game tonight', 'playoff game tomorrow night', 'year old son', 'coach', 'Easton brand', 'weeks']"
2,"{'id': '2', 'text': ""I'm old school...OK...I'm just old.  I had never used an aluminum bat before and when they came out I just refused to use one in my softball leagues. I got this one by request for my grandson.  Throwing and catching is not his thing but now, I must admit, he can hit and hit deep.  I'm in no position to argue with success so I guess I'll just have to make my peace with the reality of aluminum or whatever this thing is made of.""}",positive,"['thing', 'reality of aluminum', 'aluminum bat', 'old school', 'peace', 'softball leagues', 'request', 'grandson', 'position', 'success']"
3,"{'id': '3', 'text': 'Bat was purchased for my smaller-than-average six year-old son. He is not hitting balls out of the park to say the least, but the bat still has a big dent and looks bent after just a couple of batting practice sessions. Sent it back and ordered a replacement, hoping that I got unlucky with a defective unit as the bat is otherwise great.'}",positive,"['couple of batting practice sessions', 'defective unit', 'big dent', 'year-old son', 'balls', 'park', 'replacement']"
4,"{'id': '4', 'text': 'The bat cracked after two weeks of modest use by a 9yr old. Please do not buy.'}",negative,"['weeks of modest use', 'yr old', 'bat']"
5,"{'id': '5', 'text': 'Had shipping confirmation within 20 minutes of ordering and item arrived within 24 hours. Bat is perfect for my 6 year old!'}",positive,"['minutes of ordering', 'item', 'year old', 'Bat', 'confirmation', 'hours']"
6,"{'id': '6', 'text': 'Bought for my 8 year old. He has been very happy with it. Shipped to me in a couple days.'}",positive,"['year old', 'couple days']"
7,"{'id': '7', 'text': 'My son loved this bat good as advertised'}",positive,"['son', 'bat good']"
8,"{'id': '8', 'text': 'This is a really nice youth bat at the price point. It has a legitimately decent sized big barrel and is made from a nice quality aluminum. For roughly $80, this is a great bat. It is definitely better than cheap sub-$50 bats and nearly as good as some $100+ options. Is it as good as a $300 bat? No, but you shouldn\'t expect that at this price point. One area where this bat really shines is in the 26"" length. For years, virtually all 26"" bats were t-ball rated. That was tough, because they weren\'t designed for use with hard balls, but plenty of kids starting out in divisions that use hard balls still benefit from a 26"" bat. Many kids starting out in hard ball divisions struggle with 27"" bats that are just a tad too long and heavy for them. Having a legitimate hardball rated bat in the 26"" length is a great option for a lot of kids starting out in hardball divisions (6-7 years old, typically). At a -11 drop weight, this bat might be a little too heavy for kids who are a little bit small for their age, but for average size/strength younger batters, the -11 drop is usually pretty good. This is a quality bat if you don\'t want the cheapest thing on the market, but don\'t want to spend hundreds of dollars either.'}",positive,"['great bat', 'quality bat', 'nice youth bat', 'bats', 'lot of kids', 'hardball divisions', 'hard balls', 'hard ball divisions struggle', 'price point', 'drop', 'length', 'use', 'nice quality aluminum', 'great option', 't-ball', 'legitimate hardball', 'years old', 'average size', 'strength younger batters', 'decent sized big barrel', 'cheapest thing', 'market', 'tad', 'hundreds of dollars', 'options', 'area', 'weight']"
9,"{'id': '9', 'text': ""While I don't necessarily like the idea of better tech for the younger athletes as I feel it can be too much of a crutch, I also see the benefit of growing skills without needless struggle. I learned on the junkiest most busted down equipment and the thought was that it made you better in the long run. Well, times have changed and better equipment means new heights of achievements. This Easton bat has been no exception. The little sluggers are still little sluggers without it but with it you can see a better sense of balance developing. This goes for any well designed and weighted bat from any company. Easton has always been towards the frontline of tech in my opinion this is no exception.""}",positive,"['better equipment', 'idea of better tech', 'little sluggers', 'better sense of balance', 'Easton bat', 'exception', 'frontline of tech', 'weighted bat', 'benefit of growing skills', 'needless struggle', 'new heights of achievements', 'younger athletes', 'company', 'opinion', 'thought', 'times', 'long run', 'crutch']"
